"event","trial","time","PID"
"focus","0","0","SZfNj"
"fullscreenenter","0","8066","SZfNj"
"fullscreenexit","1091","1459123","SZfNj"
"blur","1091","1461494","SZfNj"
"focus","1091","1465376","SZfNj"
"blur","1093","1467991","SZfNj"
"focus","1093","1489284","SZfNj"
"blur","1093","1490935","SZfNj"
"focus","1093","1495453","SZfNj"
"blur","1093","1500799","SZfNj"
"focus","1093","1513827","SZfNj"
"blur","1095","1517209","SZfNj"
"focus","1096","1523292","SZfNj"
"blur","1100","1528513","SZfNj"
"focus","1101","1532829","SZfNj"
"blur","1101","1533912","SZfNj"
"focus","1101","1539867","SZfNj"
"blur","1206","1684340","SZfNj"
"focus","1206","1685911","SZfNj"
"blur","1207","1707506","SZfNj"
"focus","1207","1708015","SZfNj"
"blur","1341","1933187","SZfNj"
"focus","1341","1939606","SZfNj"
