"event","trial","time","PID"
"focus","0","0","WJ2Nv"
"focus","0","0","WJ2Nv"
"blur","0","1324","WJ2Nv"
"focus","0","2590","WJ2Nv"
"blur","0","6981","WJ2Nv"
"focus","0","49525","WJ2Nv"
"blur","0","50782","WJ2Nv"
"focus","0","84137","WJ2Nv"
"blur","0","88356","WJ2Nv"
"focus","0","89423","WJ2Nv"
"blur","0","90765","WJ2Nv"
"focus","0","92946","WJ2Nv"
"blur","0","94923","WJ2Nv"
"focus","0","102970","WJ2Nv"
"blur","0","103336","WJ2Nv"
"focus","0","150800","WJ2Nv"
"blur","0","153572","WJ2Nv"
"focus","0","154209","WJ2Nv"
"fullscreenenter","0","155085","WJ2Nv"
