"event","trial","time","PID"
"fullscreenenter","0","2586","Xcmcr"
"fullscreenexit","1","5390","Xcmcr"
"blur","7","47301","Xcmcr"
"focus","7","52904","Xcmcr"
"blur","7","55708","Xcmcr"
"focus","7","58255","Xcmcr"
"blur","25","128867","Xcmcr"
"focus","25","134759","Xcmcr"
"blur","51","438736","Xcmcr"
"focus","51","461453","Xcmcr"
"blur","537","1673250","Xcmcr"
"focus","543","1688924","Xcmcr"
"blur","1250","2570208","Xcmcr"
"focus","1250","2581631","Xcmcr"
"blur","1338","2810284","Xcmcr"
"focus","1338","2824499","Xcmcr"
"blur","1338","2826756","Xcmcr"
"focus","1338","2831705","Xcmcr"
