"event","trial","time","PID"
"focus","0","1602997","Y1QFI"
"fullscreenenter","0","1690125","Y1QFI"
"fullscreenexit","125","2122420","Y1QFI"
"blur","125","2124113","Y1QFI"
"focus","125","2497226","Y1QFI"
"blur","1061","3879004","Y1QFI"
"focus","1061","3885076","Y1QFI"
"blur","1061","3956046","Y1QFI"
"focus","1061","4043528","Y1QFI"
"blur","1221","4398433","Y1QFI"
"focus","1221","4400886","Y1QFI"
"blur","1253","4606514","Y1QFI"
"focus","1253","4609101","Y1QFI"
"focus","1253","4609102","Y1QFI"
"blur","1273","4648391","Y1QFI"
"focus","1273","4651604","Y1QFI"
"focus","1273","4651604","Y1QFI"
"blur","1341","4800676","Y1QFI"
"focus","1341","4810460","Y1QFI"
"blur","1341","4812855","Y1QFI"
"focus","1341","4816928","Y1QFI"
