"event","trial","time","PID"
"focus","0","0","mBvvp"
"focus","0","0","mBvvp"
"fullscreenenter","0","35224","mBvvp"
"fullscreenexit","256","1749543","mBvvp"
"blur","256","1753230","mBvvp"
"focus","256","1774344","mBvvp"
"blur","1234","3297235","mBvvp"
"focus","1234","3297237","mBvvp"
"blur","1246","3315485","mBvvp"
"focus","1246","3315488","mBvvp"
"blur","1250","3322277","mBvvp"
"focus","1250","3322279","mBvvp"
"blur","1270","3359587","mBvvp"
"focus","1270","3373150","mBvvp"
"blur","1302","3428634","mBvvp"
"focus","1302","3428635","mBvvp"
"blur","1326","3607358","mBvvp"
"focus","1326","3640012","mBvvp"
"blur","1326","3643586","mBvvp"
"focus","1326","3659071","mBvvp"
