"event","trial","time","PID"
"blur","0","0","rHMtE"
"focus","0","49226","rHMtE"
"fullscreenenter","0","49356","rHMtE"
"fullscreenexit","1","205942","rHMtE"
"blur","1","207889","rHMtE"
"focus","1","209992","rHMtE"
"blur","1","832853","rHMtE"
"focus","1","853123","rHMtE"
"blur","1","855347","rHMtE"
"focus","1","858646","rHMtE"
"blur","1","1010645","rHMtE"
"focus","1","1017264","rHMtE"
"blur","1344","3722488","rHMtE"
"focus","1344","3733032","rHMtE"
"blur","1345","3739454","rHMtE"
"focus","1345","3740042","rHMtE"
"blur","1345","3740564","rHMtE"
