"event","trial","time","PID"
"fullscreenenter","0","9153","sNyXJ"
"blur","57","153481","sNyXJ"
"focus","57","581619","sNyXJ"
"blur","183","866554","sNyXJ"
"focus","183","897571","sNyXJ"
"blur","333","1126121","sNyXJ"
"focus","333","1137022","sNyXJ"
"blur","407","1302948","sNyXJ"
"focus","407","1316012","sNyXJ"
"blur","843","1679941","sNyXJ"
"focus","843","1736761","sNyXJ"
"blur","922","1803043","sNyXJ"
"focus","923","1804296","sNyXJ"
"blur","925","1805710","sNyXJ"
"focus","926","1806642","sNyXJ"
"blur","928","1808504","sNyXJ"
"focus","929","1809313","sNyXJ"
"blur","931","1810795","sNyXJ"
"focus","932","1811930","sNyXJ"
"blur","934","1813192","sNyXJ"
"focus","935","1814565","sNyXJ"
"blur","937","1816011","sNyXJ"
"focus","938","1817033","sNyXJ"
"blur","940","1819047","sNyXJ"
"focus","941","1819718","sNyXJ"
"blur","1060","1928352","sNyXJ"
"focus","1060","2010177","sNyXJ"
"blur","1216","2231721","sNyXJ"
"focus","1216","2288096","sNyXJ"
"blur","1239","2335165","sNyXJ"
"focus","1240","2336523","sNyXJ"
"blur","1247","2344681","sNyXJ"
"focus","1248","2346588","sNyXJ"
"blur","1250","2349719","sNyXJ"
"focus","1250","2352292","sNyXJ"
"fullscreenexit","1328","2514309","sNyXJ"
"blur","1328","2520328","sNyXJ"
"focus","1328","2524382","sNyXJ"
