"event","trial","time","PID"
"blur","0","0","tMhNR"
"focus","0","0","tMhNR"
"blur","0","0","tMhNR"
"focus","0","0","tMhNR"
"blur","0","0","tMhNR"
"focus","0","28877","tMhNR"
"blur","0","31027","tMhNR"
"focus","0","728539","tMhNR"
"blur","0","729805","tMhNR"
"focus","0","794042","tMhNR"
"blur","0","794611","tMhNR"
"focus","0","1187555","tMhNR"
"blur","0","1188554","tMhNR"
"focus","0","1459760","tMhNR"
"blur","0","1468644","tMhNR"
"focus","0","2008604","tMhNR"
"blur","0","2019261","tMhNR"
"focus","0","2451675","tMhNR"
"blur","0","2455286","tMhNR"
"focus","0","2473679","tMhNR"
"blur","0","2474575","tMhNR"
"focus","0","2616489","tMhNR"
"blur","0","2690866","tMhNR"
"focus","0","2707032","tMhNR"
"blur","0","2708338","tMhNR"
"focus","0","2752111","tMhNR"
"blur","0","2752826","tMhNR"
"focus","0","2813749","tMhNR"
"fullscreenenter","0","2815151","tMhNR"
"fullscreenexit","54","3060099","tMhNR"
"blur","54","3061117","tMhNR"
"focus","54","4046225","tMhNR"
"blur","180","4415817","tMhNR"
"focus","180","4423019","tMhNR"
"blur","180","4426734","tMhNR"
"focus","180","4534687","tMhNR"
"blur","481","4958199","tMhNR"
"focus","496","4991942","tMhNR"
"blur","515","5009410","tMhNR"
"focus","516","5010889","tMhNR"
"blur","945","5410307","tMhNR"
"focus","961","5445432","tMhNR"
"blur","1055","5537174","tMhNR"
"focus","1055","6174103","tMhNR"
"blur","1055","6180877","tMhNR"
"focus","1055","6203619","tMhNR"
"blur","1055","6208650","tMhNR"
"focus","1055","8199104","tMhNR"
"blur","1055","8201116","tMhNR"
"focus","1055","8886876","tMhNR"
"blur","1171","9089697","tMhNR"
"focus","1171","9118235","tMhNR"
